ProductId,Time,Rating,Sentiment Score,Sentiment Label,Summary
P1000-01,2019-07-31,5,0.676449,positive,Beneful Dog Food is all we use
P1000-01,2019-07-23,5,-0.395163,negative,The ONLY dog food our dog will eat!
P1000-01,2019-07-22,4,0.638935,positive,More sugar and salt than peas and carrots
P1000-04,2019-04-23,5,0.500265,positive,Cant say anything that hasnt already been said!
P1000-05,2019-09-02,5,0.387746,positive,Surprise Surprise Surprise
P1000-05,2019-03-22,5,0.621224,positive,Yummy!
P1000-01,2019-08-27,4,-0.794070,negative,"A healthy, well-digesting food that is just a little large for my dogs."
P1000-01,2019-06-04,5,-0.441767,negative,"I tried it and didnt like it, dogs did though."
P1000-01,2019-08-19,5,0.556436,positive,The dog seems to enjoy it
P1000-05,2019-07-03,5,0.675869,positive,Best Coconut Oil
P1000-01,2019-06-07,1,-0.656097,negative,Complete Garbage and Chemicals for your animals - Great marketing with pretty pics of vegetables.
P1000-01,2019-07-28,5,0.749027,positive,Dog food your vet would approve
P1000-05,2019-03-22,5,0.659488,positive,Amazing Skin and Hair Softener!
P1000-05,2019-01-27,4,0.573720,positive,So far so good!
P1000-01,2019-08-12,5,0.600024,positive,Dogs love it. We've switched from Pedigree.
P1000-05,2019-05-13,5,0.919064,positive,great coconut oil and great price!
P1000-02,2019-10-28,1,-0.748235,negative,YUCK! :(
P1000-01,2019-07-25,3,0.493355,positive,I want to like it...
P1000-05,2019-01-15,5,0.570529,positive,Creamiest brand ever
P1000-01,2019-08-20,3,-0.511233,negative,Two Bichons  comment...
P1000-05,2019-01-12,5,0.746873,positive,instant pedicure in a bottle
P1000-01,2019-08-15,3,-0.737492,negative,"OK I guess, but seems costly."
P1000-05,2019-02-14,3,0.580223,positive,Coconut Oil
P1000-04,2019-05-03,5,0.871275,positive,Great for everything!!
P1000-05,2019-05-30,5,0.760975,positive,Coconut Oil
P1000-05,2019-09-05,5,0.788901,positive,I love this stuff!
P1000-01,2019-07-25,4,0.954123,positive,Healthy Dog Food
P1000-05,2019-12-19,4,-0.348918,negative,Great product.
P1000-05,2019-05-18,5,-0.720399,negative,Finally!!! Amazing result!!!
P1000-05,2019-05-24,5,0.771250,positive,Great stuff!
P1000-05,2019-11-08,5,0.809573,positive,Coconut Oil
P1000-01,2019-07-19,1,-0.481483,negative,Multiple species refused to eat this food
P1000-01,2019-10-16,5,0.317227,positive,My dogs were begging for it!
P1000-01,2019-05-21,2,-0.383127,negative,"Dog loves it, price is a bit high, question the quality of ingredients"
P1000-05,2019-05-26,4,0.718015,positive,Coconut oil
P1000-01,2019-04-30,1,0.334751,positive,Horrible food!!
P1000-05,2019-08-02,4,0.898103,positive,Coconut oil
P1000-05,2019-09-17,4,0.827414,positive,"Great for my hair, and cooking!"
P1000-05,2019-06-10,5,0.783068,positive,Great Stuff!
P1000-05,2019-09-17,5,0.706893,positive,Does it all!!
P1000-05,2019-09-08,5,-0.490284,negative,"What ""Extra Virgin"" label  mean for coconut ?????"
P1000-01,2019-07-23,4,0.424555,positive,Dog likes it
P1000-01,2019-07-19,4,0.672798,positive,A favorite in our house
P1000-04,2019-06-24,5,0.361968,positive,Good Taste
P1000-05,2019-08-11,5,0.987410,positive,so good
P1000-01,2019-07-29,5,0.944986,positive,My dogs approve!
P1000-04,2019-05-21,5,0.530388,positive,Well Worth Trying
P1000-05,2019-04-18,5,0.595520,positive,Wonderful
P1000-05,2019-08-19,5,0.873513,positive,Excellent body cream!
P1000-01,2019-07-24,3,-0.284151,negative,"Dog Not a Big Fan, but the Cats Loved It"
P1000-01,2019-06-14,4,0.635951,positive,How to review dog food
P1000-01,2019-07-26,3,0.439581,positive,"Labradoodle & Yorkie both are enjoying this but ingredients are nothing exceptional or ""beneficial"" IMO!"
P1000-04,2019-09-12,4,-0.587654,negative,Coconut oil can seep past the new opaque white plastic Jar.
P1000-04,2019-05-07,5,0.954651,positive,Wonderful!!!!!!!!!
P1000-01,2019-08-15,2,0.672967,positive,Max doesn't care for it
P1000-01,2019-08-27,5,-0.816558,negative,Nice size bag
P1000-05,2019-07-01,5,0.739063,positive,Works magically on hair
P1000-01,2019-07-18,3,-0.340689,negative,"Better than ""Dog Chow"" but not by much"
P1000-04,2019-09-22,5,0.790337,positive,Multi-Use!
P1000-05,2019-08-28,5,0.904618,positive,great for scars
P1000-05,2019-05-21,5,0.909956,positive,Love it!!
P1000-01,2019-09-25,1,0.288750,positive,Great food for dogs who need corn
P1000-05,2019-01-11,5,0.884164,positive,AMAZING
P1000-05,2019-05-23,5,0.786739,positive,great
P1000-04,2019-08-18,5,0.701499,positive,Best ever oil!
P1000-01,2019-08-11,5,0.677782,positive,The Go-to Dog Food for Emmy
P1000-01,2019-08-13,4,0.333178,positive,My Dog Loves This!
P1000-05,2019-05-23,5,0.750806,positive,great to have
P1000-05,2019-02-16,5,0.631711,positive,Absolutely great!!
P1000-01,2019-07-25,5,0.285112,positive,The dog loves it
P1000-01,2019-07-20,4,0.759282,positive,Good basic maintenance dog food
P1000-01,2019-05-22,2,-0.585437,negative,"""Wholesale"" Ingredients... Enough said!"
P1000-04,2019-06-17,5,0.721981,positive,best coconut oil I have found
P1000-04,2019-11-25,4,0.860603,positive,Nice for cooking
P1000-01,2019-05-23,5,0.983622,positive,funny dogs
P1000-05,2019-02-10,5,0.962053,positive,Great buy!
P1000-02,2019-11-24,5,0.897294,positive,didnt use yet
P1000-01,2019-02-25,1,-0.698938,negative,"False Advertising, Terrible Dog Food!!"
P1000-04,2019-08-26,5,0.292348,positive,Great product!!
P1000-01,2019-08-10,4,0.544244,positive,Doggy Loves It!
P1000-01,2019-08-19,4,-0.354137,negative,Most (of my) Dogs Love It!
P1000-02,2019-07-06,5,0.852610,positive,Refreshing for the Afternoon Blahs
P1000-01,2019-08-07,4,-0.626737,negative,"Dogs like it, and it seems to be pretty comparable to similar foods on the market."
P1000-05,2019-08-22,5,0.905923,positive,Organic and Multi-Purpose
P1000-04,2019-08-30,5,0.851317,positive,Great for everything!
P1000-05,2019-10-01,5,0.582171,positive,Love This!
P1000-05,2019-04-07,5,0.712029,positive,"Excellent for skin, hair, and cooking"
P1000-02,2019-08-15,1,-0.352585,negative,"Vending Machine Coffee, dont buy it."
P1000-05,2019-08-07,4,0.661897,positive,Great for homemade baby wipes
